month,arrival_count,multiplier
1,796154,0.9117530405930288
2,776738,0.8895178988539252
3,862416,0.9876360732422088
4,930652,1.0657797244427378
5,969584,1.1103645276043972
6,891162,1.0205559014474144
7,926516,1.0610431903351496
8,925522,1.0599048646816334
9,863698,0.9891042155840677
10,865138,0.990753299025781
11,869630,0.9958975232064595
12,801338,0.9176897409831972
